ts_code,name,price
000711.SZ,京蓝科技,4.795
000712.SZ,锦龙股份,11.829999999999998
000713.SZ,丰乐种业,10.56
000715.SZ,中兴商业,10.615
000716.SZ,黑芝麻,3.5700000000000003
000717.SZ,韶钢松山,3.7800000000000002
000718.SZ,苏宁环球,3.775
000719.SZ,中原传媒,7.140000000000001
000720.SZ,新能泰山,4.725
000721.SZ,西安饮食,4.0649999999999995
000722.SZ,湖南发展,6.74
000723.SZ,美锦能源,9.515
000725.SZ,京东方A,3.6900000000000004
000726.SZ,鲁泰A,9.195
000727.SZ,华东科技,2.14
000728.SZ,国元证券,8.504999999999999
000729.SZ,燕京啤酒,6.324999999999999
000731.SZ,四川美丰,5.3149999999999995
000732.SZ,泰禾集团,6.165
000733.SZ,振华科技,16.875
000735.SZ,罗牛山,9.735
000736.SZ,中交地产,6.359999999999999
000737.SZ,ST南风,2.9850000000000003
000738.SZ,航发控制,14.780000000000001
000739.SZ,普洛药业,10.885000000000002
000750.SZ,国海证券,4.99
000751.SZ,锌业股份,3.13
000752.SZ,*ST西发,3.9699999999999998
000753.SZ,漳州发展,2.94
000755.SZ,山西路桥,4.21
000756.SZ,新华制药,7.165
000757.SZ,浩物股份,4.574999999999999
000758.SZ,中色股份,4.640000000000001
000759.SZ,中百集团,7.42
000760.SZ,*ST斯太,1.47
000761.SZ,本钢板材,3.985
000762.SZ,西藏矿业,7.195
000766.SZ,通化金马,7.775
000767.SZ,漳泽电力,2.575
000768.SZ,中航飞机,15.969999999999999
000776.SZ,广发证券,13.295
000777.SZ,中核科技,12.905
000778.SZ,新兴铸管,3.95
000779.SZ,甘咨询,12.085
000780.SZ,平庄能源,3.085
000782.SZ,美达股份,3.74
000783.SZ,长江证券,6.970000000000001
000785.SZ,武汉中商,10.11
000786.SZ,北新建材,18.335
000788.SZ,北大医药,6.6899999999999995
000789.SZ,万年青,9.06
000790.SZ,泰合健康,4.395
000791.SZ,甘肃电投,3.745
000792.SZ,*ST盐湖,6.9350000000000005
000793.SZ,华闻集团,3.18
000795.SZ,英洛华,6.775
000796.SZ,凯撒旅游,6.57
000797.SZ,中国武夷,3.35
000798.SZ,中水渔业,5.859999999999999
000799.SZ,酒鬼酒,28.96
000800.SZ,一汽轿车,9.19
000801.SZ,四川九洲,5.6
000802.SZ,北京文化,8.535
000803.SZ,金宇车城,14.39
000806.SZ,ST银河,2.165
000807.SZ,云铝股份,4.975
000809.SZ,铁岭新城,2.3449999999999998
000810.SZ,创维数字,8.435
000811.SZ,冰轮环境,7.109999999999999
000812.SZ,陕西金叶,3.41
000813.SZ,德展健康,7.5649999999999995
000815.SZ,美利云,7.914999999999999
000816.SZ,ST慧业,1.5350000000000001
000818.SZ,航锦科技,8.455
000819.SZ,岳阳兴长,8.36
000820.SZ,*ST节能,1.74
000821.SZ,京山轻机,7.04
000822.SZ,山东海化,4.65
000823.SZ,超声电子,11.059999999999999
